rank-number,rank-year,index-name_en-US,rank-value,patron-source,patron-industry,lastseen-country
3629,12024,Peter Thiel,"$4,200,000,000","Facebook, investments",Finance & Investments,United States
3687,12024,Andrej Babis,"$4,100,000,000",Agriculture,Food & Beverage,Czech Republic
3688,12024,Danielle Bellon,"$4,100,000,000",Food services,Service,France
3689,12024,Hubert Burda,"$4,100,000,000",Publishing,Media & Entertainment,Germany
3690,12024,Nick Caporella,"$4,100,000,000",Beverages,Food & Beverage,United States
3691,12024,John Catsimatidis,"$4,100,000,000","Oil, real estate",Energy,United States
3692,12024,Scott Cook,"$4,100,000,000",Software,Technology,United States
3693,12024,Luca Garavoglia,"$4,100,000,000",Spirits,Food & Beverage,Italy
3694,12024,Antti Herlin,"$4,100,000,000","Elevators, escalators",Manufacturing,Finland
3695,12024,Hong Jie,"$4,100,000,000",Paint,Manufacturing,China
3696,12024,"Jeremy Jacobs, Sr.","$4,100,000,000",Food service,Service,United States
3697,12024,Igor Kesaev,"$4,100,000,000","Tobacco distribution, retail",Fashion & Retail,Russia
3698,12024,Mary Alice Dorrance Malone,"$4,100,000,000",Campbell Soup,Food & Beverage,United States
3699,12024,Joao Moreira Salles,"$4,100,000,000","Banking, minerals",Diversified,Brazil
3700,12024,Walther Moreira Salles Junior,"$4,100,000,000","Banking, minerals",Finance & Investments,Brazil
3701,12024,Arturo Moreno,"$4,100,000,000","Billboards, Los Angeles Angels",Sports,United States
3702,12024,Peter Spuhler,"$4,100,000,000",Train cars,Manufacturing,Switzerland
3703,12024,Donald Sterling,"$4,100,000,000",Real estate,Real Estate,United States
3704,12024,Kerry Stokes,"$4,100,000,000","Construction equipment, media",Diversified,Australia
3705,12024,Ken Xie,"$4,100,000,000",Cybersecurity,Technology,United States
3706,12024,Xie Liangzhi,"$4,100,000,000",Biotech,Healthcare,China
,,David Packard,"$4,000,000,000",Hewlett-Packard ,Technology,United States
3742,12024,Sid Bass,"$4,000,000,000","Oil, investments",Energy,United States
3743,12024,Ben Chestnut,"$4,000,000,000",Email marketing,Technology,United States
3744,12024,Elisabeth DeLuca,"$4,000,000,000",Subway,Food & Beverage,United States
3745,12024,Guo Guangchang,"$4,000,000,000",Conglomerate,Diversified,China
3746,12024,Vinod Rai Gupta,"$4,000,000,000",Electrical equipment,Manufacturing,India
3747,12024,John Henry,"$4,000,000,000",Sports,Sports,United States
3748,12024,Travis Kalanick,"$4,000,000,000",Uber,Technology,United States
3749,12024,Koon Poh Keong,"$4,000,000,000",Aluminum,Manufacturing,Malaysia
3750,12024,Dan Kurzius,"$4,000,000,000",Email marketing,Technology,United States
3751,12024,Paul Lee,"$4,000,000,000",Battery separators,Manufacturing,United States
3752,12024,Tobi Lutke,"$4,000,000,000",E-commerce,Technology,Canada
3753,12024,Gail Miller,"$4,000,000,000",Car dealerships,Automotive,United States
3754,12024,Rajan Mittal,"$4,000,000,000",Telecom,Telecom,India
3755,12024,Rakesh Mittal,"$4,000,000,000",Telecom,Telecom,India
3756,12024,Isaac Perlmutter,"$4,000,000,000",Marvel comics,Media & Entertainment,United States
3757,12024,"Bernard Saul, II.","$4,000,000,000","Banking, real estate",Finance & Investments,United States
3758,12024,Shaul Shani,"$4,000,000,000",Telecom,Telecom,Israel
3759,12024,Steven Spielberg,"$4,000,000,000",Movies,Media & Entertainment,United States
3760,12024,Jerzy Starak,"$4,000,000,000",Pharmaceuticals,Healthcare,Poland
3761,12024,Torbjorn Tornqvist,"$4,000,000,000",Oil trading,Energy,Sweden
3762,12024,Rufino Vigil Gonzalez,"$4,000,000,000",Steel,Metals & Mining,Mexico
3763,12024,Zhang Daocai,"$4,000,000,000",Valves,Diversified,China
3764,12024,Hans-Adam II,"$4,000,000,000",Holdings in the Prince of Liechtenstein Foundation.,"Royalty, Diversified",Liechtenstein
3765,12024,Henri,"$4,000,000,000",grand duchy,"Royalty, Diversified", Luxembourg
3806,12024,Juergen Blickle,"$3,900,000,000",Auto parts,Manufacturing,Germany
3807,12024,"Austen Cargill, II.","$3,900,000,000",Cargill,Food & Beverage,United States
3808,12024,"James Cargill, II.","$3,900,000,000",Cargill,Food & Beverage,United States
3809,12024,Vanich Chaiyawan,"$3,900,000,000","Insurance, beverages",Finance & Investments,Thailand
3810,12024,Chen Dongsheng,"$3,900,000,000",Insurance,Finance & Investments,China
3811,12024,Mong-Koo Chung,"$3,900,000,000",Hyundai,Automotive,South Korea
3812,12024,Kenneth Dart,"$3,900,000,000",Investments,Finance & Investments,Belize
3813,12024,Giuseppe De'Longhi,"$3,900,000,000",Coffee makers,Fashion & Retail,Italy
3814,12024,Guenther Fielmann,"$3,900,000,000",Optometry,Healthcare,Germany
3815,12024,W. Herbert Hunt,"$3,900,000,000",Oil,Energy,United States
3816,12024,James Irsay,"$3,900,000,000",Indianapolis Colts,Sports,United States
3817,12024,Somurai Jaruphnit,"$3,900,000,000",Diversified,Diversified,Thailand
3818,12024,Marianne Liebmann,"$3,900,000,000",Cargill,Food & Beverage,United States
3819,12024,Jorge Moll Filho,"$3,900,000,000",Hospitals,Healthcare,Brazil
3820,12024,Fernando Roberto Moreira Salles,"$3,900,000,000","Banking, minerals",Diversified,Brazil
3821,12024,Pedro Moreira Salles,"$3,900,000,000","Banking, minerals",Diversified,Brazil
3822,12024,Gabe Newell,"$3,900,000,000",Videogames,Gambling & Casinos,United States
3823,12024,Alfred Oetker,"$3,900,000,000",Consumer goods,Fashion & Retail,Germany
3824,12024,Carl Ferdinand Oetker,"$3,900,000,000",Consumer goods,Fashion & Retail,Germany
3825,12024,Julia Oetker,"$3,900,000,000",Consumer goods,Fashion & Retail,Germany
3826,12024,Ruan Hongliang,"$3,900,000,000",Glass,Manufacturing,China
3827,12024,Mark Stevens,"$3,900,000,000",Venture capital,Finance & Investments,United States
3828,12024,Tsai Hong-tu,"$3,900,000,000",Finance,Finance & Investments,Taiwan
3829,12024,Nusli Wadia,"$3,900,000,000",Consumer goods,Food & Beverage,India
3830,12024,Wu Yiling,"$3,900,000,000",Pharmaceuticals,Healthcare,China
3831,12024,Yu Renrong,"$3,900,000,000",Semiconductors,Manufacturing,China
3832,12024,Zhu Baoguo,"$3,900,000,000",Pharmaceuticals,Healthcare,China
3881,12024,Rahul Bhatia,"$3,800,000,000",Aviation,Service,India
3882,12024,Francesco Gaetano Caltagirone,"$3,800,000,000","Cement, diversified",Construction & Engineering,Italy
3883,12024,Barry Diller,"$3,800,000,000",Online media,Media & Entertainment,United States
3884,12024,Wesley Edens,"$3,800,000,000",Investments,Finance & Investments,United States
3885,12024,Stephen Feinberg,"$3,800,000,000",Private equity,Finance & Investments,United States
3886,12024,Rakesh Gangwal,"$3,800,000,000",Airline,Service,United States
3887,12024,Joseph Grendys,"$3,800,000,000",Poultry processing,Food & Beverage,United States
3888,12024,Martha Ingram,"$3,800,000,000","Book distribution, transportation",Media & Entertainment,United States
3889,12024,Li Xiang,"$3,800,000,000",Electric vehicles,Automotive,China
3890,12024,"H. Ross Perot, Jr.","$3,800,000,000",Real estate,Real Estate,United States
3891,12024,Chandru Raheja,"$3,800,000,000",Real estate,Real Estate,India
3892,12024,Trevor Rees-Jones,"$3,800,000,000",Oil & gas,Energy,United States
3893,12024,Yasumitsu Shigeta,"$3,800,000,000",Mobile phone retailer,Telecom,Japan
3894,12024,Su Qingcan,"$3,800,000,000",Healthcare,Healthcare,China
3895,12024,Tsai Cheng-ta,"$3,800,000,000",Finance,Finance & Investments,Taiwan
3896,12024,Steven Udvar-Hazy,"$3,800,000,000",Aircraft leasing,Service,United States
3897,12024,Elizabeth Uihlein,"$3,800,000,000",Packaging materials,Manufacturing,United States
3898,12024,Richard Uihlein,"$3,800,000,000",Packaging materials,Manufacturing,United States
3947,12024,Hayes Barnard,"$3,700,000,000",Fintech,Finance & Investments,United States
3948,12024,William Berkley,"$3,700,000,000",Insurance,Finance & Investments,United States
3949,12024,Charles Cohen,"$3,700,000,000",Real estate,Real Estate,United States
3950,12024,Yakir Gabay,"$3,700,000,000",Real estate,Real Estate,Cyprus
3951,12024,Huang Li,"$3,700,000,000",Imaging systems,Technology,China
3952,12024,Brad Jacobs,"$3,700,000,000",Logistics,Logistics,United States
3953,12024,Ji Qi,"$3,700,000,000","Hotels, motels",Real Estate,China
3954,12024,Jason Jiang,"$3,700,000,000",Advertising,Media & Entertainment,Singapore
3955,12024,Jim Kavanaugh,"$3,700,000,000",IT provider,Technology,United States
3956,12024,Richard LeFrak,"$3,700,000,000",Real estate,Real Estate,United States
3957,12024,Mikhail Lomtadze,"$3,700,000,000",Fintech,Finance & Investments,Georgia
3958,12024,Tom Morris,"$3,700,000,000",Retail,Fashion & Retail,United Kingdom
3959,12024,Shigenobu Nagamori,"$3,700,000,000",Motors,Manufacturing,Japan
3960,12024,Daniel Och,"$3,700,000,000",Hedge funds,Finance & Investments,United States
3961,12024,Horst Paulmann,"$3,700,000,000",Retail,Fashion & Retail,Chile
3962,12024,Anthony Pritzker,"$3,700,000,000","Hotels, investments",Service,United States
3963,12024,John Sall,"$3,700,000,000",Software,Technology,United States
3964,12024,Howard Schultz,"$3,700,000,000",Starbucks,Food & Beverage,United States
3965,12024,Richard Schulze,"$3,700,000,000",Best Buy,Fashion & Retail,United States
3966,12024,Yitzhak Tshuva,"$3,700,000,000",Real estate,Real Estate,Israel
3967,12024,Wang Yanqing,"$3,700,000,000",Electrical equipment,Manufacturing,China
4010,12024,Rajiv Bajaj,"$3,600,000,000",Diversified,Diversified,India
4011,12024,Sanjiv Bajaj,"$3,600,000,000",Diversified,Diversified,India
4012,12024,Leonid Boguslavsky,"$3,600,000,000",Venture capital,Finance & Investments,Canada
4013,12024,Jim Coulter,"$3,600,000,000",Private equity,Finance & Investments,United States
4014,12024,Nicolas D'Ieteren,"$3,600,000,000","Auto parts, distribution",Automotive,Belgium
4015,12024,Beatriz Davila de Santo Domingo,"$3,600,000,000",Beer,Food & Beverage,Colombia
4016,12024,Bob Gaglardi,"$3,600,000,000",Hotels,Real Estate,Canada
4017,12024,Jaime Gilinski Bacal,"$3,600,000,000",Banking,Finance & Investments,Colombia
4018,12024,Pansy Ho,"$3,600,000,000",Casinos,Gambling & Casinos,Hong Kong
4019,12024,Alan Howard,"$3,600,000,000",Hedge funds,Finance & Investments,United Kingdom
4020,12024,Huang Yi,"$3,600,000,000",Car dealerships,Automotive,Hong Kong
4021,12024,Peter Kellogg,"$3,600,000,000",Investments,Finance & Investments,United States
4022,12024,Vyacheslav Kim,"$3,600,000,000",Fintech,Finance & Investments,Kazakhstan
4023,12024,Josh Kushner,"$3,600,000,000",Venture capital,Finance & Investments,United States
4024,12024,Samuel Tak Lee,"$3,600,000,000",Real estate,Real Estate,Hong Kong
4025,12024,Edwin Leong,"$3,600,000,000",Real estate,Real Estate,Hong Kong
4026,12024,"Stephen Mandel, Jr.","$3,600,000,000",Hedge funds,Finance & Investments,United States
4027,12024,Mohamed Mansour,"$3,600,000,000",Diversified,Diversified,Egypt
4028,12024,Masahiro Miki,"$3,600,000,000",Shoes,Fashion & Retail,Japan
4029,12024,Masahiro Noda,"$3,600,000,000",Software,Technology,Japan
4030,12024,Cliff Obrecht,"$3,600,000,000",Software,Technology,Australia
4031,12024,Melanie Perkins,"$3,600,000,000",Software,Technology,Australia
4032,12024,J.B. Pritzker,"$3,600,000,000","Hotels, investments",Finance & Investments,United States
4033,12024,Juan Roig,"$3,600,000,000",Supermarkets,Fashion & Retail,Spain
4034,12024,Jerry Speyer,"$3,600,000,000",Real estate,Real Estate,United States
4035,12024,Lawrence Stroll,"$3,600,000,000",Fashion investments,Fashion & Retail,Canada
4036,12024,Tung Chee Chen,"$3,600,000,000",Shipping,Logistics,Hong Kong
4037,12024,Wang Junlin,"$3,600,000,000",Liquor,Food & Beverage,China
4038,12024,Xia Zuoquan,"$3,600,000,000","Automobiles, batteries",Automotive,China
4039,12024,Zeng Fangqin,"$3,600,000,000",Smartphone components,Technology,Hong Kong
4040,12024,Zhang Jian,"$3,600,000,000","Electric bikes, scooters",Manufacturing,China
4088,12024,Rocco Basilico,"$3,500,000,000",Eyeglasses,Fashion & Retail,Italy
4089,12024,Maurizio Billi,"$3,500,000,000",Generic drugs,Healthcare,Brazil
4090,12024,Chen Fashu,"$3,500,000,000",Investments,Finance & Investments,China
4091,12024,Giuseppe Crippa,"$3,500,000,000",Microchip testing,Manufacturing,Italy
4092,12024,Daniel D'Aniello,"$3,500,000,000",Private equity,Finance & Investments,United States
4093,12024,Claudio Del Vecchio,"$3,500,000,000",Eyeglasses,Fashion & Retail,Italy
4094,12024,Clemente Del Vecchio,"$3,500,000,000",Eyeglases,Fashion & Retail,Italy
4095,12024,Leonardo Maria Del Vecchio,"$3,500,000,000",Eyeglasses,Fashion & Retail,Italy
4096,12024,Luca Del Vecchio,"$3,500,000,000",Eyeglasses,Fashion & Retail,Italy
4097,12024,Marisa Del Vecchio,"$3,500,000,000",Eyeglasses,Fashion & Retail,Italy
4098,12024,Paola Del Vecchio,"$3,500,000,000",Eyeglasses,Fashion & Retail,Italy
4099,12024,Walter P.J. Droege,"$3,500,000,000",Investing,Finance & Investments,Germany
4100,12024,Fan Daidi,"$3,500,000,000",Skincare,Fashion & Retail,China
4101,12024,Peter Gassner,"$3,500,000,000",Software,Technology,United States
4102,12024,Mikhail Gutseriev,"$3,500,000,000","Oil, coal, real estate",Energy,Russia
4103,12024,Patrick Lee,"$3,500,000,000",Paper,Manufacturing,Hong Kong
4104,12024,Leng Youbin,"$3,500,000,000",Infant formula,Food & Beverage,China
4105,12024,Daniel Loeb,"$3,500,000,000",Hedge funds,Finance & Investments,United States
4106,12024,Margarita Louis-Dreyfus,"$3,500,000,000",Commodities,Food & Beverage,Switzerland
4107,12024,Prasert Prasarttong-Osoth,"$3,500,000,000",Hospitals,Healthcare,Thailand
4108,12024,Ira Rennert,"$3,500,000,000",Investments,Finance & Investments,United States
4109,12024,Dirk Rossmann,"$3,500,000,000",Drugstores,Fashion & Retail,Germany
4110,12024,Arkady Rotenberg,"$3,500,000,000","Construction, pipes, banking",Construction & Engineering,Russia
4111,12024,Remo Ruffini,"$3,500,000,000",Winter jackets,Fashion & Retail,Italy
4112,12024,Karin Sartorius-Herbst,"$3,500,000,000",Biopharmaceuticals,Healthcare,Germany
4113,12024,Vivek Chaand Sehgal,"$3,500,000,000",Auto parts,Automotive,Australia
4114,12024,Scott Shleifer,"$3,500,000,000",Private equity,Finance & Investments,United States
4115,12024,Thomas Siebel,"$3,500,000,000",Business software,Technology,United States
4116,12024,Wim van der Leegte,"$3,500,000,000",Manufacturing,Manufacturing,Netherlands
4117,12024,Xiao Yongming,"$3,500,000,000",Fertilizer,Diversified,China
4118,12024,Michael Xie,"$3,500,000,000",Cybersecurity,Technology,United States
4119,12024,Yang Shaopeng,"$3,500,000,000",Shipping,Logistics,China
4120,12024,Nicoletta Zampillo,"$3,500,000,000",Eyeglasses,Fashion & Retail,Italy
4121,12024,Barry Zekelman,"$3,500,000,000",Steel,Manufacturing,Canada
4167,12024,William Ackman,"$3,400,000,000",Hedge funds,Finance & Investments,United States
4168,12024,Somphote Ahunai,"$3,400,000,000",Renewable energy,Energy,Thailand
4169,12024,Igor Altushkin,"$3,400,000,000",Metals,Metals & Mining,Russia
4170,12024,Ramon Ang,"$3,400,000,000",Diversified,Food & Beverage,Philippines
4171,12024,Acharya Balkrishna,"$3,400,000,000",Consumer goods,Food & Beverage,India
4172,12024,Markus Blocher,"$3,400,000,000",Chemicals,Manufacturing,Switzerland
4173,12024,Richard Branson,"$3,400,000,000",Virgin,Diversified,United Kingdom
4174,12024,Cho Jung-ho,"$3,400,000,000",Finance,Finance & Investments,South Korea
4175,12024,Alessandra Garavoglia,"$3,400,000,000",Spirits,Food & Beverage,Italy
4176,12024,Laurence Graff,"$3,400,000,000",Diamond jewelry,Fashion & Retail,United Kingdom
4177,12024,"Amos Hostetter, Jr.","$3,400,000,000",Cable television,Media & Entertainment,United States
4178,12024,Robert Johnson,"$3,400,000,000","Johnson & Johnson, sports",Sports,United States
4179,12024,Steven Klinsky,"$3,400,000,000",Investments,Finance & Investments,United States
4180,12024,William Lauder,"$3,400,000,000",Estee Lauder,Fashion & Retail,United States
4181,12024,John Middleton,"$3,400,000,000",Tobacco,Food & Beverage,United States
4182,12024,Hiroshi Mikitani,"$3,400,000,000",Online retail,Fashion & Retail,Japan
4183,12024,Bob Parsons,"$3,400,000,000",Web hosting,Technology,United States
4184,12024,J. Joe Ricketts,"$3,400,000,000",TD Ameritrade,Finance & Investments,United States
4185,12024,Herb Simon,"$3,400,000,000",Real estate,Real Estate,United States
4186,12024,Leena Tewari,"$3,400,000,000",Pharmaceuticals,Healthcare,India
4187,12024,Stefan von Holtzbrinck,"$3,400,000,000",Publishing,Media & Entertainment,Germany
4188,12024,Hans Peter Wild,"$3,400,000,000",Flavorings,Food & Beverage,Switzerland
4189,12024,Wu Guanjiang,"$3,400,000,000",Pharmaceuticals,Healthcare,China
4190,12024,Yi Zheng,"$3,400,000,000",Software,Technology,China
4191,12024,Eric Yuan,"$3,400,000,000",Zoom Video Communications,Technology,United States
4192,12024,Charles Zegar,"$3,400,000,000",Bloomberg LP,Media & Entertainment,United States
4249,12024,Sofie Kirk Kristiansen,"$3,300,000,000",Lego,Manufacturing,Denmark
4250,12024,Thomas Kirk Kristiansen,"$3,300,000,000",Lego,Manufacturing,Denmark
4251,12024,Mohed Altrad,"$3,300,000,000","Scaffolding, cement mixers",Construction & Engineering,France
4252,12024,John Arnold,"$3,300,000,000",Hedge funds,Finance & Investments,United States
4253,12024,Bill Austin,"$3,300,000,000",Hearing aids,Manufacturing,United States
4254,12024,Chen Shibin,"$3,300,000,000",Quartz products,Manufacturing,China
4255,12024,Bennett Dorrance,"$3,300,000,000",Campbell Soup,Food & Beverage,United States
4256,12024,Walter Faria,"$3,300,000,000",Beer,Food & Beverage,Brazil
4257,12024,Walter Frey,"$3,300,000,000",Car dealerships,Automotive,Switzerland
4258,12024,Fu Liquan,"$3,300,000,000",Surveillance equipment,Technology,China
4259,12024,John Gandel,"$3,300,000,000",Shopping malls,Real Estate,Australia
4260,12024,Peter Gilgan,"$3,300,000,000",Homebuilding,Construction & Engineering,Canada
4261,12024,Kwek Leng Beng,"$3,300,000,000",Diversified,Diversified,Singapore
4262,12024,Pablo Legorreta,"$3,300,000,000",Investments,Finance & Investments,United States
4263,12024,Arnon Milchan,"$3,300,000,000",Movie making,Media & Entertainment,Israel
4264,12024,Akio Nitori,"$3,300,000,000",Home furnishings,Fashion & Retail,Japan
4265,12024,Julio Ponce Lerou,"$3,300,000,000",Fertilizer,Metals & Mining,Chile
4266,12024,Rodger Riney,"$3,300,000,000",Discount brokerage,Finance & Investments,United States
4267,12024,Phil Ruffin,"$3,300,000,000","Casinos, real estate",Diversified,United States
4268,12024,Naguib Sawiris,"$3,300,000,000",Telecom,Telecom,Egypt
4269,12024,Shen Neil,"$3,300,000,000",Venture capital,Finance & Investments,Hong Kong
4270,12024,Gil Shwed,"$3,300,000,000",Software,Technology,Israel
4271,12024,Stephen Smith,"$3,300,000,000",Finance and investments,Finance & Investments,Canada
4272,12024,Nik Storonsky,"$3,300,000,000",Fintech,Finance & Investments,United Kingdom
4273,12024,Jeffrey Talpins,"$3,300,000,000",Hedge fund,Finance & Investments,United States
4274,12024,Carl Thoma,"$3,300,000,000",Investments,Finance & Investments,United States
