rank-number,rank-year,index-name_en-US,capitalist-gender,XY-parent_en-US,XX-parent_en-Us,given-name_native-tongue,friend-name,capitalist_consort-name,firstseen-city,firstseen-country,capitalist_born-spacetime,capitalist_origin-story,mother-tongues,capitalist_schooling,written-hands,job-titles,award-names,capitalist-background,lastseen_city,lastseen-country,capitalist-type,rank-metric,rank-value,stock-shareprice,evolution-value_descendant-count,datacollected-yearmonth,firstseen-year,privedge-granted_year,priveledge-rank,privedge-lost_year,lastseen-year,deathnote,capitalist-currentage,person_age-group,archetype.childhood,archetype.student,archetype.householder,archetype.teacher,archetype.advisor,archetype.phantasim,patron-source,patron-industry,claim-to-fame,data-notes
343,12024,Jim Walton,XY,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$58,800,000,000",,,12024.03,11950,,B.lion,,,,76,advisor,,,,,,,Walmart,Fashion & Retail,,
352,12024,Rob Walton,XY,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$57,600,000,000",,,12024.03,11946,,B.lion,,,,80,advisor,,,,,,,Walmart,Fashion & Retail,,
359,12024,Alice Walton,XX,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$56,700,000,000",,,12024.03,11951,,B.lion,,,,75,advisor,,,,,,,Walmart,Fashion & Retail,,
370,12024,David Thomson,XY,,,,,,,,,,,,,,,,,Canada,person.public,USD-networth,"$54,400,000,000",,,12024.03,11959,,B.lion,,,,67,teacher,,,,,,,Media,Media & Entertainment,,
412,12024,Michael Dell,XY,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$50,100,000,000",,,12024.03,11966,,B.lion,,,,60,teacher,,,,,,,Dell Technologies,Technology,,
430,12024,Gautam Adani,,,,,,,,,,,,,,,,,,India,person.public,USD-networth,"$47,200,000,000",,,12024.03,11964,,B.lion,,,,62,teacher,,,,,,,"Infrastructure, commodities",Diversified,,
450,12024,Phil Knight,XY,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$45,100,000,000",,,12024.03,11939,,B.lion,,,,87,advisor,,,,,,,Nike,Fashion & Retail,,
452,12024,Zhang Yiming,,,,,,,,,,,,,,,,,,China,person.public,USD-networth,"$45,000,000,000",,,12024.03,11985,,B.lion,,,,41,householder,,,,,,,TikTok,Technology,,
479,12024,Vajiralongkorn,XY,	Bhumibol Adulyadej (Rama IX),Sirikit Kitiyakara,วชิราลงกรณ,,"Soamsawali Kitiyakara (XX)
Yuvadhida Polpraserth (XX)
Srirasmi Suwadee (XX)
Suthida Tidjai (XX)
Niramon Ounprom (XX)",,Thailand,,,,,,Crown Prince,,,,Thailand,person.public,USD-networth,"$43,000,000,000",,7,12024.03,11952,11972,B.lion,,,,74,advisor,,,,,,,Investments derived from the Crown Property Bureau. tenth monarch of the Chakri dynasty (i.e. Rama X),"Royalty, Real Estate, Investments",wealthiest monarch in the world,
482,12024,Dieter Schwarz,XY,,,,,,,,,,,,,,,,,Germany,person.public,USD-networth,"$42,900,000,000",,,12024.03,11941,,B.lion,,,,85,advisor,,,,,,,Retail,Fashion & Retail,,
530,12024,François Pinault,,,,,,,,,,,,,,,,,,France,person.public,USD-networth,"$40,100,000,000",,,12024.03,11938,,B.lion,,,,88,advisor,,,,,,,Luxury goods,Fashion & Retail,,
547,12024,Klaus-Michael Kuehne,XY,,,,,,,,,,,,,,,,,Germany,person.public,USD-networth,"$39,100,000,000",,,12024.03,11939,,B.lion,,,,87,advisor,,,,,,,Shipping,Logistics,,
551,12024,Giovanni Ferrero,,,,,,,,,,,,,,,,,,Italy,person.public,USD-networth,"$38,900,000,000",,,12024.03,11966,,B.lion,,,,60,teacher,,,,,,,"Nutella, chocolates",Food & Beverage,,
561,12024,Li Ka-shing,,,,,,,,,,,,,,,,,,Hong Kong,person.public,USD-networth,"$38,000,000,000",,,12024.03,11930,,B.lion,,,,96,phantasim,,,,,,,Diversified,Diversified,,
595,12024,Ma Huateng,,,,,,,,,,,,,,,,,,China,person.public,USD-networth,"$35,300,000,000",,,12024.03,11973,,B.lion,,,,53,teacher,,,,,,,Internet media,Technology,,
598,12024,Miriam Adelson,,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$35,000,000,000",,,12024.03,11947,,B.lion,,,,79,advisor,,,,,,,Casinos,Gambling & Casinos,,
599,12024,Ken Griffin,XY,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$35,000,000,000",,,12024.03,11970,,B.lion,,,,56,teacher,,,,,,,Hedge funds,Finance & Investments,,
600,12024,Mark Mateschitz,XY,,,,,,,,,,,,,,,,,Austria,person.public,USD-networth,"$34,700,000,000",,,12024.03,11994,,B.lion,,,,32,householder,,,,,,,Red Bull,Food & Beverage,,
616,12024,Robin Zeng,,,,,,,,,,,,,,,,,,Hong Kong,person.public,USD-networth,"$33,400,000,000",,,12024.03,11970,,B.lion,,,,56,teacher,,,,,,,Batteries,Automotive,,
633,12024,Tadashi Yanai,,,,,,,,,,,,,,,,,,Japan,person.public,USD-networth,"$32,600,000,000",,,12024.03,11950,,B.lion,,,,76,advisor,,,,,,,Fashion retail,Fashion & Retail,,
644,12024,Len Blavatnik,,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$32,100,000,000",,,12024.03,11959,,B.lion,,,,67,teacher,,,,,,,"Music, chemicals",Diversified,,
656,12024,Alain Wertheimer,,,,,,,,,,,,,,,,,,France,person.public,USD-networth,"$31,600,000,000",,,12024.03,11950,,B.lion,,,,76,advisor,,,,,,,Chanel,Fashion & Retail,,
657,12024,Gerard Wertheimer,,,,,,,,,,,,,,,,,,France,person.public,USD-networth,"$31,600,000,000",,,12024.03,11952,,B.lion,,,,74,advisor,,,,,,,Chanel,Fashion & Retail,,
670,12024,Gianluigi Aponte,,,,,,,,,,,,,,,,,,Switzerland,person.public,USD-networth,"$31,200,000,000",,,12024.03,11942,,B.lion,,,,84,advisor,,,,,,,Shipping,Logistics,,
671,12024,Rafaela Aponte-Diamant,,,,,,,,,,,,,,,,,,Switzerland,person.public,USD-networth,"$31,200,000,000",,,12024.03,11946,,B.lion,,,,80,advisor,,,,,,,Shipping,Logistics,,
697,12024,Colin Huang,,,,,,,,,,,,,,,,,,China,person.public,USD-networth,"$30,200,000,000",,,12024.03,11981,,B.lion,,,,45,householder,,,,,,,E-commerce,Technology,,
705,12024,Miguel Bezos,XY,,,Miguel Bezos,Mike,Jackie Bezos (XX),,Cuba,Cuba.1946,escape to America for a better life,,University of Albuquerque,"Cuban-Spanish
Cuban-English",,,"grew up middle-class.  escaped Castro's Cuba at 16yo.  Got an engineering degree before working for Exxon, Bankers Trust Company in New York City and finishing out at Exxon Production Research Company before moving to Amazon.  Co-founded Bezos Family Foundation.",,United States,person.public,USD-networth,"$30,000,000,000",,,12024.03,11946,,B.lion,,,,80,advisor,,,,,,,Diversified,Finance & Investments,early backer of Amazon.com,
708,12024,Reinhold Wuerth,,,,,,,,,,,,,,,,,,Germany,person.public,USD-networth,"$29,700,000,000",,,12024.03,11937,,B.lion,,,,89,advisor,,,,,,,Fasteners,Manufacturing,,
715,12024,Charles Koch,XY,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$29,500,000,000",,,12024.03,11937,,B.lion,,,,89,advisor,,,,,,,Koch Industries,Diversified,,
716,12024,Julia Koch,,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$29,500,000,000",,,12024.03,11964,,B.lion,,,,62,teacher,,,,,,,Koch Industries,Diversified,,
717,12024,Lee Shau Kee,,,,,,,,,,,,,,,,,,Hong Kong,person.public,USD-networth,"$29,500,000,000",,,12024.03,11929,,B.lion,,,,97,phantasim,,,,,,,Real estate,Real Estate,,
742,12024,Jeff Yass,,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$28,500,000,000",,,12024.03,11960,,B.lion,,,,66,teacher,,,,,,,"Trading, investments",Finance & Investments,,
757,12024,Jim Simons,,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$28,100,000,000",,,12024.03,11940,,B.lion,,,,86,advisor,,,,,,,Hedge funds,Finance & Investments,,
761,12024,Hassanal Bolkiah,XY,	Sultan Omar Ali Saifuddien III,Pengiran Anak Damit,حسن البلقية,,"Raja Isteri Pengiran Anak Hajah Saleha (XX)
Hajah Mariam (XX)
Azrinaz Mazhar (XX)",,Brunei,,,,,,,,,,Brunei,person.public,USD-networth,"$28,000,000,000",,12,12024.03,11946,,B.lion,,,,80,advisor,,,,,,,"Oil, refinery","Royalty, Energy",world's longest-reigning current monarch,
765,12024,Stephen Schwarzman,,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$27,800,000,000",,,12024.03,11948,,B.lion,,,,78,advisor,,,,,,,Investments,Finance & Investments,,
770,12024,Susanne Klatten,,,,,,,,,,,,,,,,,,Germany,person.public,USD-networth,"$27,400,000,000",,,12024.03,11964,,B.lion,,,,62,teacher,,,,,,,"BMW, pharmaceuticals",Automotive,,
779,12024,Gina Rinehart,,,,,,,,,,,,,,,,,,Australia,person.public,USD-networth,"$27,000,000,000",,,12024.03,11955,,B.lion,,,,71,teacher,,,,,,,Mining,Metals & Mining,,
787,12024,William Ding,,,,,,,,,,,,,,,,,,China,person.public,USD-networth,"$26,700,000,000",,,12024.03,11973,,B.lion,,,,53,teacher,,,,,,,Online games,Technology,,
792,12024,Germán Larrea Mota Velasco,,,,,,,,,,,,,,,,,,Mexico,person.public,USD-networth,"$26,600,000,000",,,12024.03,11955,,B.lion,,,,71,teacher,,,,,,,Mining,Metals & Mining,,
819,12024,Shiv Nadar,,,,,,,,,,,,,,,,,,India,person.public,USD-networth,"$25,600,000,000",,,12024.03,11947,,B.lion,,,,79,advisor,,,,,,,software services,Technology,,
828,12024,Low Tuck Kwong,,,,,,,,,,,,,,,,,,Indonesia,person.public,USD-networth,"$25,500,000,000",,,12024.03,11950,,B.lion,,,,76,advisor,,,,,,,Coal,Energy,,
832,12024,Thomas Peterffy,,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$25,300,000,000",,,12024.03,11946,,B.lion,,,,80,advisor,,,,,,,Discount brokerage,Finance & Investments,,
836,12024,Andrey Melnichenko,,,,,,,,,,,,,,,,,,Russia,person.public,USD-networth,"$25,200,000,000",,,12024.03,11973,,B.lion,,,,53,teacher,,,,,,,"Fertilizers, coal",Metals & Mining,,
853,12024,Stefan Quandt,,,,,,,,,,,,,,,,,,Germany,person.public,USD-networth,"$24,600,000,000",,,12024.03,11968,,B.lion,,,,58,teacher,,,,,,,BMW,Automotive,,
856,12024,MacKenzie Scott,,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$24,400,000,000",,,12024.03,11972,,B.lion,,,,54,teacher,,,,,,,Amazon,Technology,,
859,12024,R. Budi Hartono,,,,,,,,,,,,,,,,,,Indonesia,person.public,USD-networth,"$24,200,000,000",,,12024.03,11942,,B.lion,,,,84,advisor,,,,,,,"Banking, tobacco",Finance & Investments,,
884,12024,Vladimir Potanin,,,,,,,,,,,,,,,,,,Russia,person.public,USD-networth,"$23,700,000,000",,,12024.03,11962,,B.lion,,,,64,teacher,,,,,,,Metals,Metals & Mining,,
891,12024,Jack Ma,,,,,,,,,,,,,,,,,,China,person.public,USD-networth,"$23,500,000,000",,,12024.03,11966,,B.lion,,,,60,teacher,,,,,,,E-commerce,Technology,,
895,12024,He Xiangjian,,,,,,,,,,,,,,,,,,China,person.public,USD-networth,"$23,400,000,000",,,12024.03,11944,,B.lion,,,,82,advisor,,,,,,,Home appliances,Manufacturing,,
905,12024,Iris Fontbona,,,,,,,,,,,,,,,,,,Chile,person.public,USD-networth,"$23,100,000,000",,,12024.03,11944,,B.lion,,,,82,advisor,,,,,,,Mining,Metals & Mining,,
906,12024,Michael Hartono,XY,,,,,,,,,,,,,,,,,Indonesia,person.public,USD-networth,"$23,100,000,000",,,12024.03,11941,,B.lion,,,,85,advisor,,,,,,,"Banking, tobacco",Manufacturing,,
915,12024,James Ratcliffe,,,,,,,,,,,,,,,,,,United Kingdom,person.public,USD-networth,"$22,900,000,000",,,12024.03,11954,,B.lion,,,,72,teacher,,,,,,,Chemicals,Manufacturing,,
927,12024,Cyrus Poonawalla,,,,,,,,,,,,,,,,,,India,person.public,USD-networth,"$22,600,000,000",,,12024.03,11943,,B.lion,,,,83,advisor,,,,,,,Vaccines,Healthcare,,
937,12024,Masayoshi Son,,,,,,,,,,,,,,,,,,Japan,person.public,USD-networth,"$22,400,000,000",,,12024.03,11959,,B.lion,,,,67,teacher,,,,,,,"Internet, telecom",Telecom,,
948,12024,Vladimir Lisin,,,,,,,,,,,,,,,,,,Russia,person.public,USD-networth,"$22,100,000,000",,,12024.03,11958,,B.lion,,,,68,teacher,,,,,,,"Steel, transport",Metals & Mining,,
954,12024,Emmanuel Besnier,,,,,,,,,,,,,,,,,,France,person.public,USD-networth,"$22,000,000,000",,,12024.03,11972,,B.lion,,,,54,teacher,,,,,,,Cheese,Food & Beverage,,
965,12024,Abigail Johnson,XX,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$21,600,000,000",,,12024.03,11963,,B.lion,,,,63,teacher,,,,,,,Fidelity,Finance & Investments,,
966,12024,Leonid Mikhelson,,,,,,,,,,,,,,,,,,Russia,person.public,USD-networth,"$21,600,000,000",,,12024.03,11957,,B.lion,,,,69,teacher,,,,,,,"Gas, chemicals",Energy,,
,,Elizabeth II,XX,George VI,Elizabeth Bowes-Lyon,Princess Elizabeth of York,,,,England,British-English.Interwar-era,bulwark through the wars,British-English.Interwar-era,,en-GB_typeface.PostWar-era,Princess,,,,England,person.public,USD-networth,"$21,500,000,000",,4,12024.03,11926,11926,B.lion,,12022,,96,phantasim,,,,,,,"holdings of the crown estate, Duchy of Lancaster and Duchy of Cornwall",Royalty,Queen of England,
969,12024,Charles III,XY,"Prince Philip, Duke of Edinburgh",Elizabeth II,Prince Charles of Edinburgh,,"Diana Spencer (XX)
Camilla Parker Bowles (XX)",,England,British-English.PostWar-era,old boy becomes King,,"Gordonstoun School
Trinity College, Cambridge (MA)",en-GB_typeface.PostWWII-era,Prince,,,,England,person.public,USD-networth,"$21,500,000,000",,2,12024.03,11948,11948,B.lion,,,,78,advisor,,,,,,,"holdings of the crown estate, Duchy of Lancaster and Duchy of Cornwall",Royalty,Oldest boy,
979,12024,Lukas Walton,,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$21,200,000,000",,,12024.03,11988,,B.lion,,,,38,householder,,,,,,,Walmart,Fashion & Retail,,
980,12024,Wang Wei,,,,,,,,,,,,,,,,,,China,person.public,USD-networth,"$21,200,000,000",,,12024.03,11972,,B.lion,,,,54,teacher,,,,,,,Package delivery,Service,,
986,12024,Jensen Huang,,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$21,100,000,000",,,12024.03,11964,,B.lion,,,,62,teacher,,,,,,,Semiconductors,Technology,,
988,12024,Leonard Lauder,,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$21,000,000,000",,,12024.03,11934,,B.lion,,,,92,phantasim,,,,,,,Estee Lauder,Fashion & Retail,,
989,12024,Takemitsu Takizaki,,,,,,,,,,,,,,,,,,Japan,person.public,USD-networth,"$21,000,000,000",,,12024.03,11947,,B.lion,,,,79,advisor,,,,,,,Sensors,Manufacturing,,
997,12024,Alexey Mordashov,,,,,,,,,,,,,,,,,,Russia,person.public,USD-networth,"$20,900,000,000",,,12024.03,11967,,B.lion,,,,59,teacher,,,,,,,"Steel, investments",Metals & Mining,,
1007,12024,Vagit Alekperov,,,,,,,,,,,,,,,,,,Russia,person.public,USD-networth,"$20,500,000,000",,,12024.03,11952,,B.lion,,,,74,advisor,,,,,,,Oil,Energy,,
1027,12024,"Thomas Frist, Jr.",,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$20,200,000,000",,,12024.03,11940,,B.lion,,,,86,advisor,,,,,,,Hospitals,Healthcare,,
1050,12024,Andrew Forrest,,,,,,,,,,,,,,,,,,Australia,person.public,USD-networth,"$19,600,000,000",,,12024.03,11963,,B.lion,,,,63,teacher,,,,,,,Mining,Metals & Mining,,
1076,12024,Jacqueline Mars,,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$19,200,000,000",,,12024.03,11941,,B.lion,,,,85,advisor,,,,,,,"Candy, pet food",Food & Beverage,,
1077,12024,John Mars,XY,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$19,200,000,000",,,12024.03,11937,,B.lion,,,,89,advisor,,,,,,,"Candy, pet food",Food & Beverage,,
1084,12024,Ray Dalio,,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$19,100,000,000",,,12024.03,11951,,B.lion,,,,75,advisor,,,,,,,Hedge funds,Finance & Investments,,
1088,12024,Eric Li,,,,,,,,,,,,,,,,,,China,person.public,USD-networth,"$19,000,000,000",,,12024.03,11965,,B.lion,,,,61,teacher,,,,,,,Automobiles,Automotive,,
1089,12024,Wang Wenyin,,,,,,,,,,,,,,,,,,China,person.public,USD-networth,"$19,000,000,000",,,12024.03,11969,,B.lion,,,,57,teacher,,,,,,,"Mining, copper products",Metals & Mining,,
1097,12024,Eyal Ofer,,,,,,,,,,,,,,,,,,Israel,person.public,USD-networth,"$18,900,000,000",,,12024.03,11952,,B.lion,,,,74,advisor,,,,,,,"Real estate, shipping",Diversified,,
1098,12024,Qin Yinglin,,,,,,,,,,,,,,,,,,China,person.public,USD-networth,"$18,900,000,000",,,12024.03,11967,,B.lion,,,,59,teacher,,,,,,,Pig breeding,Food & Beverage,,
1104,12024,Wang Chuanfu,,,,,,,,,,,,,,,,,,China,person.public,USD-networth,"$18,700,000,000",,,12024.03,11967,,B.lion,,,,59,teacher,,,,,,,"Batteries, automobiles",Automotive,,
1112,12024,Harold Hamm,XY,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$18,500,000,000",,,12024.03,11947,,B.lion,,,,79,advisor,,,,,,,Oil & gas,Energy,,
1113,12024,David Tepper,XY,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$18,500,000,000",,,12024.03,11959,,B.lion,,,,67,teacher,,,,,,,Hedge funds,Finance & Investments,,
1114,12024,Gennady Timchenko,,,,,,,,,,,,,,,,,,Russia,person.public,USD-networth,"$18,500,000,000",,,12024.03,11954,,B.lion,,,,72,teacher,,,,,,,"Oil, gas",Energy,,
1136,12024,Daniel Gilbert,XY,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$18,000,000,000",,,12024.03,11963,,B.lion,,,,63,teacher,,,,,,,Quicken Loans,Finance & Investments,,
1137,12024,Salman bin Abdulaziz Al Saud,XY,Abdulaziz of Saudi Arabia,Hassa bint Ahmed Al Sudairi,سلمان بن عبد العزیز آل سعود,,"Sultana bint Turki Al Sudairi (XX)
Sarah bint Faisal Al Subai'ai (XX)
Fahda bint Falah Al Hithlain (XX)",,Saudi Arabia,,,,,,Crown Prince,,,,Saudi Arabia,person.public,USD-networth,"$18,000,000,000",,10,12024.03,11935,12012,B.lion,,,,91,phantasim,,,,,,,"Oil, refinery","Royalty, Energy",,
1156,12024,Lakshmi Mittal,,,,,,,,,,,,,,,,,,India,person.public,USD-networth,"$17,700,000,000",,,12024.03,11952,,B.lion,,,,74,advisor,,,,,,,Steel,Metals & Mining,,
1167,12024,Steve Cohen,XY,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$17,500,000,000",,,12024.03,11958,,B.lion,,,,68,teacher,,,,,,,Hedge funds,Finance & Investments,,
1168,12024,Carl Icahn,XY,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$17,500,000,000",,,12024.03,11937,,B.lion,,,,89,advisor,,,,,,,Investments,Finance & Investments,,
1169,12024,Savitri Jindal,,,,,,,,,,,,,,,,,,India,person.public,USD-networth,"$17,500,000,000",,,12024.03,11951,,B.lion,,,,75,advisor,,,,,,,Steel,Metals & Mining,,
1177,12024,Donald Bren,,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$17,400,000,000",,,12024.03,11934,,B.lion,,,,92,phantasim,,,,,,,Real estate,Real Estate,,
1178,12024,"John Menard, Jr.",XY,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$17,400,000,000",,,12024.03,11941,,B.lion,,,,85,advisor,,,,,,,Home improvement stores,Fashion & Retail,,
1201,12024,Rupert Murdoch,,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$17,100,000,000",,,12024.03,11932,,B.lion,,,,94,phantasim,,,,,,,"Newspapers, TV network",Media & Entertainment,,
1218,12024,Vicky Safra,,,,,,,,,,,,,,,,,,Brazil,person.public,USD-networth,"$16,700,000,000",,,12024.03,11954,,B.lion,,,,72,teacher,,,,,,,Banking,Finance & Investments,,
1227,12024,"Theo Albrecht, Jr.",XY,Theodor Paul Albrecht,,"Theodor ""Theo"" Albrecht Jr.",Theo,Katje Albrecht,,WestGermany.1950,Modern-German.DividedGermany,From corner grocery shop in 1913 Germany to elite-caste.,,,de-DE_typeface.PostWWII-era,Junior (XY horcrux),,heir to grandfather's fortune,,Germany,person.public,USD-networth,"$16,500,000,000",,,12024.03,11952,,B.lion,,,,74,advisor,,,,,,,"Aldi, Trader Joe's",Fashion & Retail,,
1228,12024,Renata Kellnerova,,,,,,,,,,,,,,,,,,Czech Republic,person.public,USD-networth,"$16,500,000,000",,,12024.03,11969,,B.lion,,,,57,teacher,,,,,,,"Finance, telecommunications",Finance & Investments,,
1243,12024,Li Xiting,,,,,,,,,,,,,,,,,,Singapore,person.public,USD-networth,"$16,300,000,000",,,12024.03,11952,,B.lion,,,,74,advisor,,,,,,,medical devices,Healthcare,,
1251,12024,Stefan Persson,,,,,,,,,,,,,,,,,,Sweden,person.public,USD-networth,"$16,200,000,000",,,12024.03,11949,,B.lion,,,,77,advisor,,,,,,,H&M,Fashion & Retail,,
1252,12024,Eric Schmidt,XY,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$16,200,000,000",,,12024.03,11957,,B.lion,,,,69,teacher,,,,,,,Google,Technology,,
1265,12024,Michael Platt,XY,,,,,,,,,,,,,,,,,United Kingdom,person.public,USD-networth,"$16,000,000,000",,,12024.03,11969,,B.lion,,,,57,teacher,,,,,,,Hedge funds,Finance & Investments,,
1272,12024,Pang Kang,,,,,,,,,,,,,,,,,,China,person.public,USD-networth,"$15,900,000,000",,,12024.03,11957,,B.lion,,,,69,teacher,,,,,,,Soy sauce,Food & Beverage,,
1278,12024,Karl Albrecht Jr.,XY,Karl Albrecht,,Junior (XY horcrux),,,,,(de-DE) USOccupied-Germany.EarlyPostWWII,"son of Karl Albrecht, who founded the discount supermarket chain Aldi with his brother Theo",,,de-DE-typeface.PostWWII,Junior (XY horcrux),,heir to father's fortune,,Germany,person.public,USD-networth,"$15,800,000,000",,-2,12024.03,11941,,B.lion,,,,85,advisor,,,,,,,Supermarkets,Fashion & Retail,,
1279,12024,Beate Heister,XX,Karl Albrecht (senior),,Beate Albrecht,,Peter Heister (XY),,Prussia,(de-DE) USOccupied-Germany.EarlyPostWWII,,,,de-DE-typeface.PostWWII,,,heir to father's fortune,,Germany,person.public,USD-networth,"$15,800,000,000",,6,12024.03,11948,,B.lion,,,,78,advisor,,,,,,,Supermarkets,Fashion & Retail,,
1280,12024,Jorge Paulo Lemann,,,,,,,,,,,,,,,,,,Brazil,person.public,USD-networth,"$15,800,000,000",,,12024.03,11957,,B.lion,,,,69,teacher,,,,,,,Beer,Food & Beverage,,
1281,12024,Peter Woo,XY,,,,,,,,,,,,,,,,,Hong Kong,person.public,USD-networth,"$15,800,000,000",,,12024.03,11979,,B.lion,,,,47,householder,,,,,,,Real estate,Real Estate,,
1288,12024,Dilip Shanghvi,,,,,,,,,,,,,,,,,,India,person.public,USD-networth,"$15,600,000,000",,,12024.03,11956,,B.lion,,,,70,teacher,,,,,,,Pharmaceuticals,Healthcare,,
1293,12024,Robert Pera,,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$15,500,000,000",,,12024.03,11968,,B.lion,,,,58,teacher,,,,,,,Wireless networking,Technology,,
1310,12024,Radhakishan Damani,,,,,,,,,,,,,,,,,,India,person.public,USD-networth,"$15,300,000,000",,,12024.03,11941,,B.lion,,,,85,advisor,,,,,,,"Retail, investments",Fashion & Retail,,
1318,12024,Huang Shilin,,,,,,,,,,,,,,,,,,China,person.public,USD-networth,"$15,200,000,000",,,12024.03,11943,,B.lion,,,,83,advisor,,,,,,,Batteries,Automotive,,
1335,12024,Dhanin Chearavanont,,,,,,,,,,,,,,,,,,Thailand,person.public,USD-networth,"$14,900,000,000",,,12024.03,11946,,B.lion,,,,80,advisor,,,,,,,Diversified,Diversified,,
1336,12024,David Green,XY,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$14,900,000,000",,,12024.03,11956,,B.lion,,,,70,teacher,,,,,,,Retail,Fashion & Retail,,
1344,12024,Charoen Sirivadhanabhakdi,,,,,,,,,,,,,,,,,,Thailand,person.public,USD-networth,"$14,800,000,000",,,12024.03,11964,,B.lion,,,,62,teacher,,,,,,,"Alcohol, real estate",Food & Beverage,,
