rank-number,rank-year,index-name_en-US,capitalist-gender,XY-parent_en-US,XX-parent_en-Us,given-name_native-tongue,friend-name,capitalist_consort-name,firstseen-city,firstseen-country,capitalist_born-spacetime,capitalist_origin-story,mother-tongues,capitalist_schooling,written-hands,job-titles,award-names,capitalist-background,lastseen_city,lastseen-country,capitalist-type,rank-metric,rank-value,stock-shareprice,evolution-value_descendant-count,datacollected-yearmonth,firstseen-year,privedge-granted_year,priveledge-rank,privedge-lost_year,lastseen-year,deathnote,capitalist-currentage,person_age-group,archetype.childhood,archetype.student,archetype.householder,archetype.teacher,archetype.advisor,archetype.phantasim,patron-source,patron-industry,claim-to-fame,data-notes
11,12026,Bernard Arnault,XY,Jean Léon Arnault,Marie-Josèphe Savinel,Bernard Jean Étienne Arnault,,"Anne Dewavrin (XX)
Hélène Mercier (XX)",Roubaix,France,,shifted the family empire; built LVMH into world's largest luxury conglomerate,Modern-French.PostWWII,"Lycée Maxence Van Der Meersch
Lycée Faidherbe
École Polytechnique",Modern-French.PostWWII,,,,Paris,France,person.public,USD-networth,"$143,000,000,000",,5,12026.05,11949,12020,CB.lion,,12026,,77,advisor,,,,,,,LVMH,Fashion & Retail,founded LVMH (Louis Vuitton Moët Hennessy),LVMH stock decline from 2024 peak reduced ranking from #1 globally
12,12026,Warren Buffett,XY,Howard Buffett,Leila Stahl Buffett,Warren Edward Buffett,Oracle of Omaha,"Susan Thompson Buffett (XX)
Astrid Menks (XX)",Omaha,United States,American-English.GreatDepression,built Berkshire Hathaway through value investing over 6 decades,American-English.GreatDepression,"Woodrow Wilson High School
University of Pennsylvania (Wharton)
University of Nebraska (BS Business)
Columbia Business School (MS Economics)",American-English.GreatDepression,,,,Omaha,United States,person.public,USD-networth,"$140,000,000,000",,3,12026.05,11930,,CB.lion,,12026,,95,phantasim,,,,,,,Berkshire Hathaway,Finance & Investments,built Berkshire Hathaway; grandfather of value investing,
13,12026,Alice Walton,XX,Sam Walton,Helen Robson Walton,Alice Louise Walton,Alice,,Newport,United States,American-English.BabyBoomer,inherited Walmart empire; founded Crystal Bridges Museum of American Art,American-English.BabyBoomer,Trinity University (BA Finance),American-English.BabyBoomer,,,,Fort Worth,United States,person.public,USD-networth,"$137,000,000,000",,0,12026.05,11949,12025,CB.lion,,12026,,76,advisor,,,,,,,Walmart,Retail,Walmart heir; founded Crystal Bridges Museum of American Art,no children; divorced twice
14,12026,Amancio Ortega,XY,Antonio Ortega Rodríguez,Josefa Gaona Hernández,Amancio Ortega Gaona,,"Rosalía Mera (XX)
Flora Pérez Marcote (XX)",Busdongo de Arbás,Spain,Spanish-Castilian.FrancoEra,founded Zara/Inditex from working-class origins; left school at 13,Spanish-Castilian.FrancoEra,(left school at age 13 to work as delivery boy),Spanish-Castilian.FrancoEra,,,,A Coruña,Spain,person.public,USD-networth,"$134,000,000,000",,3,12026.05,11936,12024,CB.lion,,12026,,90,phantasim,,,,,,,Inditex,Fashion & Retail,founded Inditex/Zara; built world's largest fast-fashion retailer,
15,12026,Steve Ballmer,XY,Frederic Henry Ballmer,Beatrice Dworkin Ballmer,Steven Anthony Ballmer,Steve,Connie Snyder Ballmer (XX),Detroit,United States,American-English.BabyBoomer,30th employee at Microsoft; succeeded Gates as CEO,American-English.BabyBoomer,"Detroit Country Day School
Harvard University (BA Applied Mathematics & Economics)",American-English.BabyBoomer,,,,Seattle,United States,person.public,USD-networth,"$132,000,000,000",,3,12026.05,11956,12021,CB.lion,,12026,,70,advisor,,,,,,,Microsoft,Technology,CEO of Microsoft 2000-2014; owns Los Angeles Clippers,
16,12026,Carlos Slim Helu,XY,Julián Slim Haddad,Linda Helú Atta,Carlos Slim Helú,,Soumaya Domit Gemayel (XX),Mexico City,Mexico,Mexican-Spanish.PostRevolution,built Telmex telecom monopoly; diversified into Grupo Carso,Mexican-Spanish.PostRevolution,Universidad Nacional Autónoma de México (BS Civil Engineering),Mexican-Spanish.PostRevolution,,,,Mexico City,Mexico,person.public,USD-networth,"$123,000,000,000",,6,12026.05,11940,12023,CB.lion,,12026,,86,advisor,,,,,,,América Móvil,Telecom,built Mexican telecom empire; world's richest person 2010-2013,Lebanese-Mexican descent; parents emigrated from Lebanon
17,12026,Changpeng Zhao,XY,Shengkai Zhao,,赵长鹏,CZ,,Lianyungang,China,Chinese-Mandarin.PostMao,founded Binance; built world's largest crypto exchange by volume,Chinese-Mandarin.PostMao,McGill University (BS Computer Science),Chinese-Mandarin.PostMao,,,,Abu Dhabi,United Arab Emirates,person.public,USD-networth,"$110,000,000,000",,2,12026.05,11977,12026,CB.lion,,12026,,48,householder,,,,,,,Binance,Finance & Investments,founded Binance; world's largest cryptocurrency exchange,pled guilty to US AML violations 2023; released from US prison 2024; relocated to UAE
18,12026,Michael Bloomberg,XY,William Henry Bloomberg,Charlotte Rubens Bloomberg,Michael Rubens Bloomberg,Mike,"Susan Brown (XX)
Diana Taylor (XX)",Medford,United States,American-English.Silent,founded Bloomberg LP after being fired from Salomon Brothers,American-English.Silent,"Johns Hopkins University (BS EE)
Harvard Business School (MBA)",American-English.Silent,,,,New York City,United States,person.public,USD-networth,"$109,000,000,000",,2,12026.05,11942,12024,CB.lion,,12026,,84,phantasim,,,,,,,Bloomberg LP,Media & Entertainment,founded Bloomberg LP; Mayor of New York City 2002-2013,
19,12026,Bill Gates,XY,William H. Gates Sr.,Mary Maxwell Gates,William Henry Gates III,Bill,"Melinda French Gates (XX)
Paula Hurd (XX)",Seattle,United States,American-English.BabyBoomer,co-founded Microsoft; transitioned to philanthropy via Gates Foundation,American-English.BabyBoomer,"Lakeside School Seattle
Harvard College (dropout)",American-English.BabyBoomer,,,,Medina,United States,person.public,USD-networth,"$103,000,000,000",,3,12026.05,11955,11999,CB.lion,,12026,,70,advisor,,,,,,,Microsoft,Technology,co-founded Microsoft; Bill & Melinda Gates Foundation,
20,12026,Gautam Adani,XY,Shantilal Adani,Shantaben Adani,Gautam Shantilal Adani,Gautam,Priti Adani (XX),Ahmedabad,India,Indian-Gujarati.PostIndependence,built ports-to-energy conglomerate from diamond sorting trade,Indian-Gujarati.PostIndependence,Sheth Chimanlal Nagindas Vidyalaya (dropout at 16),Indian-Gujarati.PostIndependence,,,,Ahmedabad,India,person.public,USD-networth,"$100,000,000,000",,2,12026.05,11962,12022,CB.lion,,12026,,63,teacher,,,,,,,Adani Group,Diversified,built India's largest ports and energy infrastructure conglomerate,net worth fluctuates around CB threshold; subject of Hindenburg Research short report 2023
21,12026,Thomas Peterffy,XY,,,Thomas Peterffy,,,Budapest,Hungary,Hungarian.WWII,emigrated from Hungary 1965; pioneered electronic trading on AMEX,Hungarian.ColdWar,(civil engineering studies Hungary; self-taught programmer in USA),Hungarian.ColdWar,,,,Palm Beach,United States,person.public,USD-networth,"$100,000,000,000",,2,12026.05,11944,12026,CB.lion,,12026,,81,advisor,,,,,,,Interactive Brokers,Finance & Investments,pioneered electronic trading; founded Interactive Brokers,net worth fluctuates around CB threshold; born during WWII Russian air raid on Budapest
