id,index-name_en-US,capitalist-gender,XY-parent_en-US,XX-parent_en-Us,given-name_native-tongue,firstseen-city,firstseen-country,capitalist_born-spacetime,capitalist-type,rank-metric,rank-value,datacollected-yearmonth,firstseen-year,privedge-granted_year,priveledge-rank,privedge-lost_year,lastseen-year,patron-industry,claim-to-fame,data-notes
16,L. Watari,XY,,,,,,Jump Universe,person.private,USD-networth,"$1,800,000,000,000.00",12026.05,,,B.Lion,,,Finance | Prediction Markets,,
17,Momo Yaoyorozu,XX,,,,,,Jump Universe,person.public,USD-networth,"$1,200,000,000,000.00",12026.05,,,B.Lion,,,Real Estate | Hotels,,
18,Stark Resilient,X0-Y1,,,,,,Marvel Universe,company.public,USD-networth,"$1,000,000,000,000.00",12026.05,,,T.dragon,,,Clean Energy/Tech,,
19,Wilson Fisk,XY,,,,,,Marvel Universe,person.public,USD-networth,"$1,000,000,000,000.00",12026.05,,,B.Lion,,,Fisk Industries (Construction | Real Estate),,Fisk’s off the books revenues as King Pin are assumed to be substantially larger than his publicly disclosed net worth.
20,The Speedwagon Foundation,XY-XX,,,,,,Jump Universe,company.nonprofit,USD-networth,"$333,000,000,000.00",12026.05,,,CB.lion,,,Oil | Research | Tech | Transportation,,
21,Black Bolt,XY,,,Blackagar Boltagon,Attilan,,Marvel Universe,person.public,USD-networth,"$250,000,000,000.00",12026.05,,,CB.lion,,,Kingdom Holdings | Terrigen Crystals | Tech,,
22,Gild Tesoro,XY,,,,,,Jump Universe,person.public,USD-networth,"$175,000,000,000.00",12026.05,,,CB.lion,,,Finance | Gold,,Gran Tesoro is a floating-city of gold which causes a highly variable net worth. Interest rates and Berry conversion rates add to the dynamic valuation.
23,Lex Luther,XY,,,,,,DC Universe,person.public,USD-networth,"$120,000,000,000.00",12026.05,,,CB.lion,,,LexCorp | Crime,,
24,KaibaCorp,XY-XX,,,,,,Jump Universe,company.public,USD-networth,"$108,000,000,000.00",12026.05,,,CB.lion,,,Hologram Tech | Space Travel,,
25,Tony Stark,XY-00,,,,,,Marvel Universe,person.public,USD-networth,"$100,000,000,000.00",12026.05,,,CB.lion,,,Military/Tech,,Tony’s net worth tends to be as unstable as his bleeding edge tech.
26,Bruce Wayne,XY,,,,,,DC Universe,person.public,USD-networth,"$100,000,000,000.00",12026.05,,,CB.lion,,,Real Estate | Military | Tech,,
27,Doctor Doom,XY,,,Victor Von Doom,,Latveria,Marvel Universe,person.public,USD-networth,"$100,000,000,000.00",12026.05,,,CB.lion,,,Latverian Sovereign Wealth | Robotics | Tech,,
28,Maxwell Lord,XY,,,,,,DC Universe,person.public,USD-networth,"$100,000,000,000.00",12026.05,,,CB.lion,,,Media,,Former leader of Justice League International
29,Bulma,XX,,,,,,Jump Universe,person.public,USD-networth,"$70,000,000,000.00",12026.05,,,B.Lion,,,Capsule Corp | Dragon Ball Wishes,,
30,Warren Worthington III,ZZ,,,,,,Marvel Universe,person.public,USD-networth,"$32,000,000,000.00",12026.05,,,B.Lion,,,"Worthington Industries (aerospace, pharmaceuticals)",,
31,Norman Osborn,XY,,,,,,Marvel Universe,person.public,USD-networth,"$10,000,000,000.00",12026.05,,,B.Lion,,,"Oscorp (Military, Chemicals)",,
32,Mr. Satan,XY,,,Hercule,,,Jump Universe,person.public,USD-networth,"$666,000,000.00",12026.05,,,CM.wolf,,,Sports | Marketing ,,"Mr. Satan does occasionally get paid “peace prizes”, but operation of Satan City is a high cost operation."
