rank-number,rank-year,index-name_en-US,capitalist-gender,XY-parent_en-US,XX-parent_en-Us,given-name_native-tongue,friend-name,capitalist_consort-name,firstseen-city,firstseen-country,capitalist_born-spacetime,capitalist_origin-story,mother-tongues,capitalist_schooling,written-hands,job-titles,award-names,capitalist-background,lastseen_city,lastseen-country,capitalist-type,rank-metric,rank-value,stock-shareprice,evolution-value_descendant-count,datacollected-yearmonth,firstseen-year,privedge-granted_year,priveledge-rank,privedge-lost_year,lastseen-year,deathnote,capitalist-currentage,person_age-group,archetype.childhood,archetype.student,archetype.householder,archetype.teacher,archetype.advisor,archetype.phantasim,patron-source,patron-industry,claim-to-fame,data-notes
1985,12024,Margaret A. Cargill Philanthropies,XX,,,,,,Minneapolis, United States,,,,,,,,,Minneapolis, United States,company.non-profit,USD-endowment,"$9,200,000,000",,,,11991,,B.lion,,,,35,householder,,,,,,,,,,
2073,12024,William and Flora Hewlett Foundation,XY-XX,Bill Hewlett,Flora Lamson Hewlett,William and Flora Hewlett Foundation,,,"Menlo Park, California", United States,,,,,,,,,"Menlo Park, California", United States,company.non-profit,USD-endowment,"$8,700,000,000",,,,11967,,B.lion,,,,59,teacher,,,,,,,,,,
2152,12024,Li Ka Shing Foundation,XY,,,,,,Hong Kong, Hong Kong,,,,,,,,,Hong Kong, Hong Kong,company.non-profit,USD-endowment,"$8,300,000,000",,,,11980,,B.lion,,,,46,householder,,,,,,,,,,
2153,12024,The Leona M. and Harry B. Helmsley Charitable Trust,XX-XY,,,,,,New York City, United States,,,,,,,,,New York City, United States,company.non-profit,USD-endowment,"$8,300,000,000",,,,11999,,B.lion,,,,27,householder,,,,,,,,,,
2179,12024,W. K. Kellogg Foundation Trust,XY,,,,,,"Battle Creek, Michigan", United States,,,,,,,,,"Battle Creek, Michigan", United States,company.non-profit,USD-endowment,"$8,200,000,000",,,,11930,,B.lion,,,,96,phantasim,,,,,,,,,,
2340,12024,Jacobs Foundation,XY,,,,,,Zürich, Switzerland,,,,,,,,,Zürich, Switzerland,company.non-profit,USD-endowment,"$7,600,000,000",,,,12001,,B.lion,,,,25,householder,,,,,,,,,,
2482,12024,David and Lucile Packard Foundation,XY-XX,David Packard,Lucile Salter ,David and Lucile Packard Foundation,,,,,,,,,,,,,,United States,company.non-profit,USD-endowment,"$7,100,000,000",,,12014,11964,,B.lion,,,,62,teacher,,,,,,,,,one of it's primary goals was to facilitate the reduction in the world population based on concerns of David Packard.,
2522,12024,Else Kröner-Fresenius-Stiftung,XX-XY,,,,,,Bad Homburg, Germany,,,,,,,,,Bad Homburg, Germany,company.non-profit,USD-endowment,"$7,000,000,000",,,,11983,,B.lion,,,,43,householder,,,,,,,,,,
2730,12024,David and Lucile Packard Foundation,XY-XX,,,,,,"Los Altos, California", United States,,,,,,,,,"Los Altos, California", United States,company.non-profit,USD-endowment,"$6,300,000,000",,,,11964,,B.lion,,,,62,teacher,,,,,,,,,,
2761,12024,Andrew W. Mellon Foundation,XY,,,,,,New York City, United States,,,,,,,,,New York City, United States,company.non-profit,USD-endowment,"$6,200,000,000",,,,11969,,B.lion,,,,57,teacher,,,,,,,,,,
2830,12024,John D. and Catherine T. MacArthur Foundation,XY-XX,,,,,,Chicago, United States,,,,,,,,,Chicago, United States,company.non-profit,USD-endowment,"$6,000,000,000",,,,11970,,B.lion,,,,56,teacher,,,,,,,,,,
2831,12024,Robert Bosch Foundation,XY,,,,,,Stuttgart, Germany,,,,,,,,,Stuttgart, Germany,company.non-profit,USD-endowment,"$6,000,000,000",,,,11964,,B.lion,,,,62,teacher,,,,,,,,,,
2869,12024,Children's Investment Fund Foundation,XX-XY,,,,,,London, United Kingdom,,,,,,,,,London, United Kingdom,company.non-profit,USD-endowment,"$5,900,000,000",,,,12002,,B.lion,,,,24,student,,,,,,,,,,
2870,12024,Conrad N. Hilton Foundation,XY,,,,,,"Westlake Village, California", United States,,,,,,,,,"Westlake Village, California", United States,company.non-profit,USD-endowment,"$5,900,000,000",,,,11944,,B.lion,,,,82,advisor,,,,,,,,,,
3431,12024,Nemours Foundation,XY,,,,,,Jacksonville, United States,,,,,,,,,Jacksonville, United States,company.non-profit,USD-endowment,"$4,600,000,000",,,,11936,,B.lion,,,,90,advisor,,,,,,,,,,
3637,12024,Bloomberg Philanthropies,XY,,,,,,New York City, United States,,,,,,,,,New York City, United States,company.non-profit,USD-endowment,"$4,200,000,000",,,,12004,,B.lion,,,,22,student,,,,,,,,,,
3768,12024,Mother Cabrini Health Foundation,XX,,,,,,New York City, United States,,,,,,,,,New York City, United States,company.non-profit,USD-endowment,"$4,000,000,000",,,,12018,,B.lion,,,,8,student,,,,,,,,,,
3769,12024,Calouste Gulbenkian Foundation,XY,,,,,,Lisbon, Portugal,,,,,,,,,Lisbon, Portugal,company.non-profit,USD-endowment,"$4,000,000,000",,,,11956,,B.lion,,,,70,teacher,,,,,,,,,,
3770,12024,VolkswagenStiftung ,Z,,,,,,Hannover, Germany,,,,,,,,,Hannover, Germany,company.non-profit,USD-endowment,"$4,000,000,000",,,,11961,,B.lion,,,,65,teacher,,,,,,,,,,
3903,12024,Tulsa Community Foundation,XY,,,,,,Tulsa, United States,,,,,,,,,Tulsa, United States,company.non-profit,USD-endowment,"$3,800,000,000",,,,11998,,B.lion,,,,28,householder,,,,,,,,,,
3971,12024,Rockefeller Foundation,XY,,,,,,New York City, United States,,,,,,,,,New York City, United States,company.non-profit,USD-endowment,"$3,700,000,000",,,,11913,,B.lion,,,,113,phantasim,,,,,,,,,,
4044,12024,The Kresge Foundation,XY,,,,,,"Troy, Michigan", United States,,,,,,,,,"Troy, Michigan", United States,company.non-profit,USD-endowment,"$3,600,000,000",,,,11924,,B.lion,,,,102,phantasim,,,,,,,,,,
4045,12024,Knut and Alice Wallenberg Foundation,XY-XX,,,,,,Stockholm, Sweden,,,,,,,,,Stockholm, Sweden,company.non-profit,USD-endowment,"$3,600,000,000",,,,11917,,B.lion,,,,109,phantasim,,,,,,,,,,
4046,12024,California Health Care Foundation,XX-XY,,,,,,"Oakland, California", United States,,,,,,,,,"Oakland, California", United States,company.non-profit,USD-endowment,"$3,600,000,000",,,,11996,,B.lion,,,,30,householder,,,,,,,,,,
4195,12024,The Duke Endowment,XY,,,,,,Charlotte, United States,,,,,,,,,Charlotte, United States,company.non-profit,USD-endowment,"$3,400,000,000",,,,11924,,B.lion,,,,102,phantasim,,,,,,,,,,
4371,12024,Realdania,Z,,,,,,Copenhagen, Denmark,,,,,,,,,Copenhagen, Denmark,company.non-profit,USD-endowment,"$3,200,000,000",,,,12000,,B.lion,,,,26,householder,,,,,,,,,,
4739,12024,Cleveland Foundation,XY,,,,,,Cleveland, United States,,,,,,,,,Cleveland, United States,company.non-profit,USD-endowment,"$2,800,000,000",,,,11914,,B.lion,,,,112,phantasim,,,,,,,,,,
4874,12024,Greater Kansas City Community Foundation,XX-XY,,,,,,Kansas City, United States,,,,,,,,,Kansas City, United States,company.non-profit,USD-endowment,"$2,700,000,000",,,,11978,,B.lion,,,,48,householder,,,,,,,,,,
4983,12024,Simons Foundation,XY,,,,,,New York City, United States,,,,,,,,,New York City, United States,company.non-profit,USD-endowment,"$2,600,000,000",,,,11994,,B.lion,,,,32,householder,,,,,,,,,,
5468,12024,Bridge House Estates,Z,,,,,,London, United Kingdom,,,,,,,,,London, United Kingdom,company.non-profit,USD-endowment,"$2,200,000,000",,,,11092,,B.lion,,,,934,phantasim,,,,,,,,,,
