rank-number,rank-year,index-name_en-US,capitalist-gender,XY-parent_en-US,XX-parent_en-Us,given-name_native-tongue,friend-name,capitalist_consort-name,firstseen-city,firstseen-country,capitalist_born-spacetime,capitalist_origin-story,mother-tongues,capitalist_schooling,written-hands,job-titles,award-names,capitalist-background,lastseen_city,lastseen-country,capitalist-type,rank-metric,rank-value,stock-shareprice,evolution-value_descendant-count,datacollected-yearmonth,firstseen-year,privedge-granted_year,priveledge-rank,privedge-lost_year,lastseen-year,deathnote,capitalist-currentage,person_age-group,archetype.childhood,archetype.student,archetype.householder,archetype.teacher,archetype.advisor,archetype.phantasim,patron-source,patron-industry,claim-to-fame,data-notes
22,12024,ASML,XX-XY,,,ASML,ASML,,,,,,,,,,,,,Netherlands,company.public,USD-marketcap,"$392,380,000,000",$974.05,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
23,12024,Procter & Gamble,XX-XY,,,Procter & Gamble,PG,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$382,660,000,000",$162.63,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
24,12024,Home Depot,XX-XY,,,Home Depot,HD,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$382,430,000,000",$385.90,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
25,12024,Johnson & Johnson,XX-XY,,,Johnson & Johnson,JNJ,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$380,380,000,000",$157.85,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
26,12024,Tencent,XX-XY,,,Tencent,TCEHY,,,,,,,,,,,,,China,company.public,USD-marketcap,"$369,520,000,000",$38.85,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
27,12024,Oracle,XX-XY,,,Oracle,ORCL,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$344,190,000,000",$125.23,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
28,12024,Toyota,XX-XY,,,Toyota,TM,,,,,,,,,,,,,Japan,company.public,USD-marketcap,"$340,580,000,000",$252.10,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
29,12024,Merck,XX-XY,,,Merck,MRK,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$334,050,000,000",$131.90,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
30,12024,Costco,XX-XY,,,Costco,COST,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$324,120,000,000",$730.84,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
31,12024,AbbVie,XX-XY,,,AbbVie,ABBV,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$318,890,000,000",$180.10,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
32,12024,Bank of America,XX-XY,,,Bank of America,BAC,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$298,540,000,000",$37.84,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
33,12024,Kweichow Moutai,XX-XY,,,Kweichow Moutai,600519.SS,,,,,,,,,,,,,China,company.public,USD-marketcap,"$295,680,000,000",$235.38,,,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
34,12024,Salesforce,XX-XY,,,Salesforce,CRM,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$292,250,000,000",$301.30,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
35,12024,AMD,XX-XY,,,AMD,AMD,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$290,210,000,000",$179.57,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
36,12024,Chevron,XX-XY,,,Chevron,CVX,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$289,950,000,000",$156.12,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
37,12024,Nestlé,XX-XY,,,Nestlé,NESN.SW,,,,,,,,,,,,,Switzerland,company.public,USD-marketcap,"$277,850,000,000",$106.00,,,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
38,12024,Hermès,XX-XY,,,Hermès,RMS.PA,,,,,,,,,,,,,France,company.public,USD-marketcap,"$272,540,000,000","$2,585.00",,,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
39,12024,Netflix,XX-XY,,,Netflix,NFLX,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$265,010,000,000",$612.38,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
40,12024,Coca-Cola,XX-XY,,,Coca-Cola,KO,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$262,890,000,000",$60.98,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
41,12024,L'Oréal,XX-XY,,,L'Oréal,OR.PA,,,,,,,,,,,,,France,company.public,USD-marketcap,"$254,980,000,000",$475.21,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
42,12024,Reliance Industries,XX-XY,,,Reliance Industries,RELIANCE.NS,,,,,,,,,,,,,India,company.public,USD-marketcap,"$242,540,000,000",$35.85,,,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
43,12024,ICBC,XX-XY,,,ICBC,1398.HK,,,,,,,,,,,,,China,company.public,USD-marketcap,"$241,800,000,000",$0.51,,,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
44,12024,Pepsico,XX-XY,,,Pepsico,PEP,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$238,710,000,000",$173.67,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
45,12024,International Holding Company,XX-XY,,,International Holding Company,IHC.AE,,,,,,,,,,,,,United Arab Emirates,company.public,USD-marketcap,"$238,620,000,000",$108.78,,,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
46,12024,SAP,XX-XY,,,SAP,SAP,,,,,,,,,,,,,Germany,company.public,USD-marketcap,"$229,850,000,000",$196.92,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
47,12024,Adobe,XX-XY,,,Adobe,ADBE,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$228,350,000,000",$504.59,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
48,12024,Linde,XX-XY,,,Linde,LIN,,,,,,,,,,,,,United Kingdom,company.public,USD-marketcap,"$224,320,000,000",$465.82,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
49,12024,PetroChina,XX-XY,,,PetroChina,601857.SS,,,,,,,,,,,,,China,company.public,USD-marketcap,"$222,880,000,000",$1.27,,,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
50,12024,Walt Disney,XX-XY,,,Walt Disney,DIS,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$221,540,000,000",$120.78,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
51,12024,Thermo Fisher Scientific,XX-XY,,,Thermo Fisher Scientific,TMO,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$220,360,000,000",$577.92,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
52,12024,Shell,XX-XY,,,Shell,SHEL,,,,,,,,,,,,,United Kingdom,company.public,USD-marketcap,"$214,740,000,000",$66.72,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
53,12024,Accenture,XX-XY,,,Accenture,ACN,,,,,,,,,,,,,Ireland,company.public,USD-marketcap,"$214,480,000,000",$341.14,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
54,12024,AstraZeneca,XX-XY,,,AstraZeneca,AZN,,,,,,,,,,,,,United Kingdom,company.public,USD-marketcap,"$211,020,000,000",$68.06,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
56,12024,Wells Fargo,XX-XY,,,Wells Fargo,WFC,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$203,750,000,000",$57.55,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
57,12024,McDonald,XX-XY,,,McDonald,MCD,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$203,560,000,000",$281.93,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
58,12024,Agricultural Bank of China,XX-XY,,,Agricultural Bank of China,601288.SS,,,,,,,,,,,,,China,company.public,USD-marketcap,"$202,200,000,000",$0.59,,,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
59,12024,Cisco,XX-XY,,,Cisco,CSCO,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$201,140,000,000",$49.68,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
60,12024,Roche,XX-XY,,,Roche,ROG.SW,,,,,,,,,,,,,Switzerland,company.public,USD-marketcap,"$201,080,000,000",$250.36,,,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
61,12024,Abbott Laboratories,XX-XY,,,Abbott Laboratories,ABT,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$197,180,000,000",$113.64,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
62,12024,Novartis,XX-XY,,,Novartis,NVS,,,,,,,,,,,,,Switzerland,company.public,USD-marketcap,"$196,850,000,000",$95.81,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
63,12024,General Electric,XX-XY,,,General Electric,GE,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$196,350,000,000",$179.60,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
64,12024,T-Mobile US,XX-XY,,,T-Mobile US,TMUS,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$192,010,000,000",$161.78,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
65,12024,China Mobile,XX-XY,,,China Mobile,0941.HK,,,,,,,,,,,,,China,company.public,USD-marketcap,"$188,640,000,000",$8.58,,,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
66,12024,QUALCOMM,XX-XY,,,QUALCOMM,QCOM,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$188,160,000,000",$168.61,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
67,12024,Intel,XX-XY,,,Intel,INTC,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$185,010,000,000",$43.76,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
68,12024,Danaher,XX-XY,,,Danaher,DHR,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$183,240,000,000",$247.72,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
69,12024,Caterpillar,XX-XY,,,Caterpillar,CAT,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$181,930,000,000",$364.32,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
70,12024,Intuit,XX-XY,,,Intuit,INTU,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$181,700,000,000",$649.00,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
72,12024,Alibaba,XX-XY,,,Alibaba,BABA,,,,,,,,,,,,,China,company.public,USD-marketcap,"$179,820,000,000",$71.50,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
73,12024,IBM,XX-XY,,,IBM,IBM,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$175,020,000,000",$190.92,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
74,12024,Verizon,XX-XY,,,Verizon,VZ,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$174,770,000,000",$41.52,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
75,12024,Applied Materials,XX-XY,,,Applied Materials,AMAT,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$172,600,000,000",$207.73,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
76,12024,Comcast,XX-XY,,,Comcast,CMCSA,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$170,840,000,000",$43.02,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
77,12024,Tata Consultancy Services,XX-XY,,,Tata Consultancy Services,TCS.NS,,,,,,,,,,,,,India,company.public,USD-marketcap,"$166,840,000,000",$46.12,,,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
78,12024,Bank of China,XX-XY,,,Bank of China,601988.SS,,,,,,,,,,,,,China,company.public,USD-marketcap,"$166,120,000,000",$0.62,,,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
79,12024,American Express,XX-XY,,,American Express,AXP,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$164,120,000,000",$227.94,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
80,12024,Uber,XX-XY,,,Uber,UBER,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$162,390,000,000",$78.20,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
81,12024,TotalEnergies,XX-XY,,,TotalEnergies,TTE,,,,,,,,,,,,,France,company.public,USD-marketcap,"$161,320,000,000",$68.43,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
82,12024,China Construction Bank,XX-XY,,,China Construction Bank,601939.SS,,,,,,,,,,,,,China,company.public,USD-marketcap,"$158,790,000,000",$0.96,,,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
83,12024,Pfizer,XX-XY,,,Pfizer,PFE,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$157,150,000,000",$27.75,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
84,12024,Texas Instruments,XX-XY,,,Texas Instruments,TXN,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$157,150,000,000",$172.68,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
85,12024,Inditex,XX-XY,,,Inditex,IDEXY,,,,,,,,,,,,,Spain,company.public,USD-marketcap,"$156,740,000,000",$25.18,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
86,12024,ServiceNow,XX-XY,,,ServiceNow,NOW,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$155,410,000,000",$758.11,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
87,12024,Pinduoduo,XX-XY,,,Pinduoduo,PDD,,,,,,,,,,,,,China,company.public,USD-marketcap,"$154,350,000,000",$116.18,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
88,12024,Amgen,XX-XY,,,Amgen,AMGN,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$153,430,000,000",$286.30,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
89,12024,Morgan Stanley,XX-XY,,,Morgan Stanley,MS,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$152,750,000,000",$93.41,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
90,12024,Siemens,XX-XY,,,Siemens,SIE.DE,,,,,,,,,,,,,Germany,company.public,USD-marketcap,"$151,280,000,000",$191.51,,,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
91,12024,Dior,XX-XY,,,Dior,CDI.PA,,,,,,,,,,,,,France,company.public,USD-marketcap,"$150,270,000,000",$832.97,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
92,12024,Union Pacific Corporation,XX-XY,,,Union Pacific Corporation,UNP,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$148,990,000,000",$244.35,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
93,12024,ConocoPhillips,XX-XY,,,ConocoPhillips,COP,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$148,940,000,000",$126.61,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
94,12024,HSBC,XX-XY,,,HSBC,HSBC,,,,,,,,,,,,,United Kingdom,company.public,USD-marketcap,"$148,070,000,000",$39.00,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
95,12024,Airbus,XX-XY,,,Airbus,AIR.PA,,,,,,,,,,,,,Netherlands,company.public,USD-marketcap,"$146,600,000,000",$185.75,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
96,12024,BHP Group,XX-XY,,,BHP Group,BHP,,,,,,,,,,,,,Australia,company.public,USD-marketcap,"$145,130,000,000",$57.36,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
97,12024,Lowe's Companies,XX-XY,,,Lowe's Companies,LOW,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$144,800,000,000",$253.08,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
98,12024,Philip Morris,XX-XY,,,Philip Morris,PM,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$143,020,000,000",$92.13,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
99,12024,Nike,XX-XY,,,Nike,NKE,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$142,400,000,000",$93.99,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
100,12024,Intuitive Surgical,XX-XY,,,Intuitive Surgical,ISRG,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$141,960,000,000",$400.53,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
101,12024,Royal Bank Of Canada,XX-XY,,,Royal Bank Of Canada,RY,,,,,,,,,,,,,Canada,company.public,USD-marketcap,"$141,720,000,000",$100.24,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
102,12024,HDFC Bank,XX-XY,,,HDFC Bank,HDB,,,,,,,,,,,,,India,company.public,USD-marketcap,"$141,060,000,000",$55.70,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
103,12024,Stryker Corporation,XX-XY,,,Stryker Corporation,SYK,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$136,400,000,000",$358.71,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
104,12024,Prosus,XX-XY,,,Prosus,PRX.AS,,,,,,,,,,,,,Netherlands,company.public,USD-marketcap,"$135,750,000,000",$31.07,,,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
105,12024,S&P Global,XX-XY,,,S&P Global,SPGI,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$135,400,000,000",$422.81,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
106,12024,Goldman Sachs,XX-XY,,,Goldman Sachs,GS,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$134,750,000,000",$415.25,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
107,12024,Honeywell,XX-XY,,,Honeywell,HON,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$133,780,000,000",$205.13,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
108,12024,Micron Technology,XX-XY,,,Micron Technology,MU,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$132,050,000,000",$119.25,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
109,12024,Charles Schwab,XX-XY,,,Charles Schwab,SCHW,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$132,040,000,000",$72.38,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
110,12024,Commonwealth Bank,XX-XY,,,Commonwealth Bank,CBA.AX,,,,,,,,,,,,,Australia,company.public,USD-marketcap,"$131,210,000,000",$78.42,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
111,12024,Nextera Energy,XX-XY,,,Nextera Energy,NEE,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$130,920,000,000",$63.79,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
112,12024,Raytheon Technologies,XX-XY,,,Raytheon Technologies,RTX,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$129,570,000,000",$97.45,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
113,12024,Arm Holdings,XX-XY,,,Arm Holdings,ARM,,,,,,,,,,,,,United Kingdom,company.public,USD-marketcap,"$129,140,000,000",$125.62,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
114,12024,Lam Research,XX-XY,,,Lam Research,LRCX,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$126,600,000,000",$965.67,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
115,12024,Schneider Electric,XX-XY,,,Schneider Electric,SU.PA,,,,,,,,,,,,,France,company.public,USD-marketcap,"$126,570,000,000",$226.71,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
116,12024,Unilever,XX-XY,,,Unilever,UL,,,,,,,,,,,,,United Kingdom,company.public,USD-marketcap,"$126,030,000,000",$50.14,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
117,12024,Eaton,XX-XY,,,Eaton,ETN,,,,,,,,,,,,,Ireland,company.public,USD-marketcap,"$125,720,000,000",$314.40,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
118,12024,United Parcel Service,XX-XY,,,United Parcel Service,UPS,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$125,690,000,000",$147.33,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
119,12024,AT&T,XX-XY,,,AT&T,T,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$125,530,000,000",$17.55,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
120,12024,Booking Holdings (Booking.com),XX-XY,,,Booking Holdings (Booking.com),BKNG,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$125,520,000,000","$3,674.00",,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
121,12024,BlackRock,XX-XY,,,BlackRock,BLK,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$124,380,000,000",$835.12,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
122,12024,Sanofi,XX-XY,,,Sanofi,SNY,,,,,,,,,,,,,France,company.public,USD-marketcap,"$123,670,000,000",$49.54,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
123,12024,Mitsubishi UFJ Financial,XX-XY,,,Mitsubishi UFJ Financial,MUFG,,,,,,,,,,,,,Japan,company.public,USD-marketcap,"$121,510,000,000",$10.30,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
124,12024,Elevance Health,XX-XY,,,Elevance Health,ELV,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$120,970,000,000",$519.96,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
